dataset h max_depth num_trees
BeetleFly 5 12 500
FiftyWords 12 15 512
ElectricDevices 5 15 400
BirdChicken 20 30 100
Wine 5 15 100
ShapesAll 5 15 100
Ham 5 15 431
Fish 22 15 463
FaceFour 5 3 200
SwedishLeaf 5 15 100
Beef 22 6 470
Yoga 15 30 100
Symbols 10 15 2000
PowerCons 12 6 144
Coffee 17 6 286
BME 10 2 300
Wafer 13 6 152
Plane 12 6 144
Strawberry 3 15 300
Meat 5 6 448
CBF 10 15 300
GunPoint 20 15 150
UMD 10 15 2500
ItalyPowerDemand 3 15 2000
SmoothSubspace 3 15 2000
MoteStrain 5 15 2000
ECG200 15 6 2000
Trace 5 15 500
Fungi 20 15 1000
