timestamp,open,high,low,close,volume
2021-10-05,326.9,332.19,326.3269,329.48,2514633.0
2021-10-06,328.16,330.65,325.4,330.36,2226755.0
2021-10-07,333.5,339.22,332.86,337.48,2789455.0
2021-10-08,333.0,335.405,330.88,334.34,2912407.0
2021-10-11,335.6,340.855,334.6,336.97,2589300.0
2021-10-12,339.14,341.05,337.4,337.8,2960592.0
2021-10-13,337.32,340.24,336.55,338.28,2477742.0
2021-10-14,340.53,344.37,340.1,344.05,2825549.0
2021-10-15,346.54,350.9527,345.75,350.41,3473488.0
2021-10-18,349.0,355.95,349.0,355.01,3487794.0
2021-10-19,356.94,358.09,354.42,357.99,2375643.0
2021-10-20,357.74,359.57,356.21,358.23,2574822.0
2021-10-21,358.2,364.85,358.12,364.62,2885381.0
2021-10-22,365.0,367.03,362.15,365.99,2734712.0
2021-10-25,367.2,371.66,365.99,371.26,2923355.0
2021-10-26,373.39,374.05,369.08,369.2,2989456.0
2021-10-27,369.87,375.15,369.3082,372.32,2840530.0
2021-10-28,373.0,373.94,370.89,371.57,2553451.0
2021-10-29,370.33,375.15,370.03,371.74,3820193.0
2021-11-01,373.0,373.57,364.7,366.48,3342556.0
2021-11-02,366.2,368.89,364.94,367.29,2353321.0
2021-11-03,366.63,369.36,365.25,368.97,2378916.0
2021-11-04,370.78,373.23,369.41,372.18,3210297.0
2021-11-05,373.81,374.41,367.57,368.4,3090203.0
2021-11-08,370.22,372.91,367.85,368.59,2357162.0
2021-11-09,369.67,373.88,368.705,370.65,2178909.0
2021-11-10,368.25,371.21,367.72,368.58,2161363.0
2021-11-11,371.0,372.0,365.83,367.63,2387327.0
2021-11-12,369.12,373.5,366.7,372.63,2736937.0
2021-11-15,374.39,374.87,369.29,371.08,3650647.0
2021-11-16,382.0,394.38,379.0,392.33,8648192.0
2021-11-17,392.83,399.43,390.81,394.85,4647042.0
2021-11-18,398.0,406.5378,396.09,405.85,4504774.0
2021-11-19,407.63,410.1,404.1101,408.69,3541964.0
2021-11-22,409.8,416.56,408.7,408.79,4008859.0
2021-11-23,405.67,409.68,403.01,408.37,3557468.0
2021-11-24,403.66,412.75,402.88,412.11,2676339.0
2021-11-26,407.26,414.14,402.25,402.7,3007785.0
2021-11-29,406.9,410.805,406.04,406.82,3725493.0
2021-11-30,403.59,408.425,400.25,400.61,7773528.0
2021-12-01,402.08,410.25,400.22,400.42,3519344.0
2021-12-02,401.81,410.7,401.0,407.77,3705017.0
2021-12-03,409.85,415.93,404.45,407.81,5237476.0
2021-12-06,413.52,420.61,411.22,415.7,4624477.0
2021-12-07,417.0,418.56,413.02,416.18,4204474.0
2021-12-08,416.18,419.85,408.28,411.25,4079365.0
2021-12-09,410.8,415.25,408.285,411.34,3822865.0
2021-12-10,412.19,415.61,410.255,415.4,2625183.0
2021-12-13,415.4,416.5,404.51,405.24,3766397.0
2021-12-14,403.45,405.68,398.08,402.2,4663013.0
2021-12-15,400.62,407.93,399.39,407.81,4421435.0
2021-12-16,408.4,408.87,398.12,399.53,4632837.0
2021-12-17,396.97,397.975,387.42,387.98,11106727.0
2021-12-20,384.29,390.17,380.9,389.4,4294757.0
2021-12-21,391.63,393.76,383.24,390.47,3038158.0
2021-12-22,391.0,395.77,388.8567,395.64,3267847.0
2021-12-23,398.29,399.84,394.6201,397.07,2743898.0
2021-12-27,399.04,404.45,398.21,404.09,2230555.0
2021-12-28,404.99,407.02,403.0,406.22,2522529.0
2021-12-29,406.38,412.37,406.31,410.84,2209598.0
2021-12-30,411.85,413.44,408.4,409.94,1804380.0
2021-12-31,409.99,416.53,409.885,415.01,2335033.0
2022-01-03,416.57,417.8446,403.26,408.64,3721342.0
2022-01-04,408.64,413.61,408.19,412.84,3266516.0
2022-01-05,414.0,414.22,406.81,407.24,4443198.0
2022-01-06,408.56,409.07,403.02,405.76,3315099.0
2022-01-07,403.36,404.09,392.88,393.61,4520671.0
2022-01-10,387.4,387.59,380.91,387.46,6439979.0
2022-01-11,388.07,391.84,384.32,386.67,4365770.0
2022-01-12,388.29,393.45,386.38,389.4,3623271.0
2022-01-13,392.51,394.31,385.86,386.98,3466279.0
2022-01-14,381.33,382.0077,371.5,372.0,6336236.0
2022-01-18,366.1,368.0894,360.03,366.72,6282705.0
2022-01-19,367.18,368.7,359.41,359.69,5150345.0
2022-01-20,361.33,361.85,349.02,349.58,5440597.0
2022-01-21,351.72,360.09,347.18,349.1,7718435.0
2022-01-24,343.78,364.38,343.61,363.81,8595587.0
2022-01-25,358.14,361.52,352.19,358.98,5536718.0
2022-01-26,360.0,365.8972,354.45,357.28,6103290.0
2022-01-27,360.43,364.12,353.9061,356.43,3944004.0
2022-01-28,360.17,366.72,352.84,366.54,4551332.0
2022-01-31,364.81,367.41,362.205,366.98,4084565.0
2022-02-01,369.47,370.6875,362.37,368.7,3406831.0
2022-02-02,368.38,374.67,367.763,373.73,3839251.0
2022-02-03,370.19,372.12,363.2,364.81,4009701.0
2022-02-04,363.5,364.67,354.25,359.67,3728123.0
2022-02-07,360.26,361.8,355.44,357.35,2809304.0
2022-02-08,357.35,362.98,354.7998,361.44,3225146.0
2022-02-09,365.31,367.4574,363.0001,364.37,2777544.0
2022-02-10,358.84,363.0,352.87,355.09,4291847.0
2022-02-11,354.69,357.34,348.5636,350.29,3308671.0
2022-02-14,348.0,352.91,346.83,351.56,3654274.0
2022-02-15,355.56,357.42,351.38,353.26,3552864.0
2022-02-16,351.5,352.86,345.72,350.09,3594853.0
2022-02-17,348.99,352.31,347.39,347.94,3926974.0
2022-02-18,348.39,350.6,344.1,346.87,5526133.0
2022-02-22,335.09,336.69,312.35,316.17,19659432.0
2022-02-23,319.32,320.4,307.1,308.45,11026044.0
2022-02-24,300.0,313.4393,299.29,313.24,8416724.0
2022-02-25,313.18,317.4445,307.565,316.65,6510600.0
