timestamp,open,high,low,close,volume
2021-10-05,46.7391,47.215,46.27,47.09,4149641.0
2021-10-06,46.86,47.24,46.215,46.91,4414442.0
2021-10-07,47.355,48.27,47.24,47.85,4311447.0
2021-10-08,47.86,47.91,47.235,47.38,5643659.0
2021-10-11,47.4,48.25,47.38,47.42,3278696.0
2021-10-12,47.15,47.81,47.07,47.42,4473574.0
2021-10-13,47.58,47.68,46.81,47.26,5982744.0
2021-10-14,47.41,51.78,45.23,50.77,29380832.0
2021-10-15,51.21,51.66,48.8,48.92,11856648.0
2021-10-18,48.71,48.71,47.59,48.4,6457145.0
2021-10-19,48.59,48.59,47.48,48.01,6040837.0
2021-10-20,48.1,48.6179,47.88,48.39,4936015.0
2021-10-21,48.3,49.19,48.3,49.14,4739253.0
2021-10-22,49.3,49.92,48.74,49.0,5150570.0
2021-10-25,49.5,49.81,49.09,49.22,5060093.0
2021-10-26,49.4,49.4,48.015,48.31,5806410.0
2021-10-27,48.45,48.46,47.09,47.12,5652046.0
2021-10-28,47.08,47.35,46.655,47.1,4843851.0
2021-10-29,46.86,47.28,46.77,47.02,4998950.0
2021-11-01,47.1,47.68,46.81,47.32,4749458.0
2021-11-02,47.54,47.77,46.85,47.75,5046536.0
2021-11-03,47.4,49.434,47.4,49.23,6018327.0
2021-11-04,49.28,49.555,48.34,49.51,6505132.0
2021-11-05,49.9,50.2763,48.86,50.2,8701655.0
2021-11-08,50.28,50.9827,49.72,49.9,6720910.0
2021-11-09,49.95,50.07,49.02,49.1,4710058.0
2021-11-10,49.17,49.74,48.88,48.97,4537405.0
2021-11-11,49.39,49.96,49.075,49.94,3837233.0
2021-11-12,49.39,49.86,49.02,49.54,3196924.0
2021-11-15,49.6862,49.905,49.045,49.22,3489047.0
2021-11-16,49.325,49.35,48.53,48.57,4013361.0
2021-11-17,48.4,48.66,47.62,47.81,8640613.0
2021-11-18,47.62,47.97,46.845,47.82,5186624.0
2021-11-19,47.89,47.9,46.845,46.98,7619256.0
2021-11-22,47.0009,48.0798,46.8,47.32,4780965.0
2021-11-23,47.47,47.9,46.5,47.39,7307770.0
2021-11-24,47.13,47.34,46.26,46.62,7993884.0
2021-11-26,45.91,46.15,45.29,45.9,5798653.0
2021-11-29,46.11,46.51,45.5,46.08,8875186.0
2021-11-30,46.06,46.51,44.41,44.8,13238099.0
2021-12-01,45.3,45.7,43.69,43.72,6265816.0
2021-12-02,44.24,44.99,43.62,44.62,5758495.0
2021-12-03,44.86,46.58,44.51,46.53,12772886.0
2021-12-06,46.89,48.76,46.75,48.3,8992472.0
2021-12-07,48.44,48.91,48.07,48.23,6454257.0
2021-12-08,48.34,48.81,48.17,48.5,5329357.0
2021-12-09,48.4,49.605,48.02,49.17,6381662.0
2021-12-10,49.61,49.94,49.0937,49.5,4121610.0
2021-12-13,49.668,50.13,48.67,49.14,4588852.0
2021-12-14,49.14,50.46,49.0,49.32,5314699.0
2021-12-15,49.48,49.725,48.5344,49.66,5445985.0
2021-12-16,48.5035,50.15,48.5,49.26,5551852.0
2021-12-17,49.06,49.62,48.68,48.85,9511172.0
2021-12-20,48.38,48.89,47.899,48.83,4307747.0
2021-12-21,49.13,50.19,48.96,49.96,5078468.0
2021-12-22,49.97,50.8,49.79,50.41,4791567.0
2021-12-23,50.72,50.94,50.46,50.48,2898590.0
2021-12-27,50.41,50.925,50.32,50.73,5219443.0
2021-12-28,50.73,51.62,50.72,51.43,3739759.0
2021-12-29,51.45,52.31,51.275,52.25,5117289.0
2021-12-30,52.36,52.92,51.94,51.99,3653593.0
2021-12-31,51.895,52.42,51.83,52.16,3215494.0
2022-01-03,52.26,53.18,52.26,53.06,7645217.0
2022-01-04,53.18,54.07,53.09,53.48,6744305.0
2022-01-05,53.69,54.8,53.58,54.0,8330905.0
2022-01-06,53.99,54.49,52.29,52.44,12076707.0
2022-01-07,52.24,54.15,51.9,53.84,7641974.0
2022-01-10,53.93,54.555,53.16,53.73,6738292.0
2022-01-11,53.98,55.0,53.62,54.33,6700632.0
2022-01-12,54.53,54.67,53.445,53.91,5280069.0
2022-01-13,54.19,54.715,53.56,54.19,7186539.0
2022-01-14,54.12,54.39,53.45,54.3,4473775.0
2022-01-18,54.09,54.35,53.2,53.52,5086992.0
2022-01-19,53.47,53.845,52.98,53.53,5468247.0
2022-01-20,53.53,54.27,53.02,53.18,5899511.0
2022-01-21,53.25,53.455,52.2,52.5,7789643.0
2022-01-24,52.41,52.77,50.62,52.38,7948129.0
