dataset 2DDDTW 2DDLCSS 2DDTW 2DLCSS ACF CC CDM CDTW CID CORT DLCSSDTW DDLCSSDTW DDDTW DDED DDLCSS DDTW DED DLCSS DTW DTWc ED EDR ERP FC GLK HDTW IDDTW
ACSF1 37.0 81.0 41.0 81.0 31.0 48.0 75.0 32.0 46.0 46.0 36.0 37.0 37.0 46.0 81.0 37.0 46.0 81.0 36.0 38.0 46.0 33.0 16.0 47.0 42.0 39.0 37.0
Adiac 29.9 57.5 62.4 66.2 44.0 38.1 92.6 38.6 37.3 39.6 39.6 30.4 29.9 37.6 85.7 41.2 41.9 85.7 39.6 39.1 38.9 58.6 37.9 38.9 81.1 44.5 39.4
AllGestureWiimoteX 27.4 32.6 57.9 67.4 55.6 62.4 88.4 47.6 47.4 53.0 25.0 25.0 27.3 48.4 38.7 40.9 69.9 55.4 28.4 28.3 48.4 50.4 31.0 48.4 75.0 31.6 28.4
AllGestureWiimoteY 25.3 28.7 56.6 76.3 56.0 50.1 86.4 42.4 44.9 47.1 24.7 24.7 25.3 45.4 28.6 37.9 70.4 54.0 27.1 27.0 43.1 42.0 30.3 43.1 81.1 29.6 26.6
AllGestureWiimoteZ 35.7 42.6 61.4 77.7 57.9 61.1 87.1 48.0 51.3 59.1 35.3 35.0 35.7 54.7 43.3 44.7 78.0 54.3 35.7 34.9 54.6 49.3 44.0 54.6 76.9 37.3 34.7
ArrowHead 21.1 18.9 62.9 42.3 28.6 19.4 68.6 30.3 17.1 21.7 28.0 19.4 21.1 20.0 18.9 28.0 40.6 18.9 29.7 20.0 20.0 25.1 22.9 20.0 40.6 37.1 25.7
Beef 30.0 30.0 36.7 40.0 56.7 36.7 76.7 33.3 36.7 33.3 36.7 33.3 33.3 33.3 30.0 33.3 30.0 30.0 36.7 33.3 33.3 30.0 40.0 33.3 63.3 33.3 36.7
BeetleFly 35.0 5.0 25.0 40.0 40.0 35.0 50.0 50.0 30.0 35.0 30.0 20.0 35.0 40.0 20.0 35.0 35.0 20.0 30.0 30.0 25.0 30.0 30.0 25.0 55.0 30.0 30.0
BirdChicken 15.0 0.0 40.0 15.0 15.0 40.0 45.0 35.0 35.0 45.0 25.0 25.0 15.0 40.0 0.0 20.0 45.0 0.0 25.0 30.0 45.0 10.0 20.0 45.0 5.0 20.0 25.0
BME 0.7 4.7 0.0 2.7 43.3 35.3 49.3 14.7 7.3 18.7 3.3 3.3 0.7 16.7 8.0 0.0 25.3 4.0 10.0 2.0 16.7 20.0 10.0 16.7 43.3 0.7 2.7
Car 20.0 16.7 45.0 31.7 61.7 26.7 81.7 35.0 26.7 25.0 26.7 23.3 20.0 26.7 18.3 30.0 33.3 16.7 26.7 23.3 26.7 11.7 21.7 26.7 51.7 31.7 31.7
CBF 0.3 1.2 53.2 40.7 31.6 25.9 41.1 2.6 1.6 20.6 0.3 0.3 0.3 14.8 1.2 45.3 66.0 39.8 0.3 0.4 14.8 6.0 0.2 15.1 44.9 0.0 0.3
Chinatown 5.2 14.8 15.4 22.9 14.0 4.4 39.1 4.1 4.1 3.8 4.3 5.2 5.2 4.6 29.0 10.7 10.1 28.7 4.3 4.7 4.7 3.8 3.2 4.7 22.2 8.1 4.1
ChlorineConcentration 27.8 43.9 26.9 44.1 42.2 35.2 52.8 35.2 35.1 34.8 35.2 29.0 29.2 27.7 49.8 28.7 27.7 49.3 35.2 35.0 35.0 36.8 37.4 35.1 57.6 37.9 35.8
CinCECGTorso 27.8 7.1 34.9 19.4 48.6 12.5 58.0 14.8 8.4 9.3 7.1 7.1 27.5 9.9 7.1 27.5 21.4 2.5 34.9 7.0 10.3 18.6 4.1 10.3 12.9 30.8 34.9
Coffee 0.0 7.1 21.4 14.3 7.1 0.0 46.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.1 7.1 7.1 7.1 0.0 0.0 0.0 3.6 7.1 0.0 25.0 0.0 0.0
Computers 32.0 41.2 33.2 46.0 41.2 48.0 35.6 48.0 40.4 46.4 30.4 28.8 28.4 48.8 41.2 34.0 48.4 39.2 30.0 38.0 42.4 30.4 41.6 42.4 40.8 38.0 33.6
CricketX 24.6 27.7 57.4 75.1 53.1 58.2 83.8 39.2 37.2 47.4 20.5 18.7 24.6 42.3 27.7 42.8 85.9 58.5 24.6 22.8 42.3 42.1 25.9 42.6 68.7 25.6 24.6
CricketY 24.1 28.7 68.5 75.4 60.8 55.9 85.6 44.1 42.1 41.3 24.9 22.6 22.3 43.3 28.7 48.2 83.6 55.4 25.6 24.1 43.3 40.8 25.4 43.3 78.2 27.9 25.6
CricketZ 22.6 29.5 57.2 70.8 50.0 57.9 84.4 33.9 40.5 44.4 24.4 23.6 22.6 41.3 26.7 48.0 79.5 63.1 24.6 25.4 41.3 39.5 25.4 41.3 70.8 25.4 24.4
Crop 30.9 29.8 43.2 41.5 40.5 32.1 38.6 34.3 28.2 27.3 31.6 29.9 30.9 27.9 30.9 36.1 29.4 34.9 33.5 28.8 28.8 36.8 31.2 28.8 87.1 35.7 32.6
DiatomSizeReduction 3.3 11.8 10.5 11.4 8.2 6.9 69.0 8.5 6.5 6.2 3.3 3.3 3.3 6.5 11.8 6.9 11.1 11.8 3.3 6.5 6.5 4.2 5.9 6.5 25.8 5.6 3.3
DistalPhalanxOutlineAgeGroup 29.5 38.9 36.0 41.7 29.5 38.1 61.2 36.7 36.7 36.7 23.0 29.5 29.5 34.5 31.6 38.1 39.6 32.4 23.0 37.4 37.4 28.1 27.3 36.7 48.9 30.2 33.1
DistalPhalanxOutlineCorrect 26.8 27.2 30.8 29.7 26.4 28.3 42.8 27.5 28.6 27.9 28.3 26.4 26.8 25.7 27.5 27.5 25.4 27.2 28.3 27.5 28.3 31.2 26.8 28.3 36.6 25.0 28.6
DistalPhalanxTW 38.9 43.2 43.9 48.2 45.3 38.1 76.3 35.2 37.4 38.8 41.0 38.9 38.9 43.2 43.2 45.3 46.0 43.2 41.0 36.7 36.7 36.7 36.7 36.7 51.1 33.1 39.6
DodgerLoopDay 58.8 43.8 76.2 76.2 72.5 47.5 88.8 42.5 50.0 57.5 50.0 50.0 48.8 46.2 51.2 78.8 83.8 71.2 50.0 41.2 45.0 48.8 31.2 46.2 81.2 46.2 50.0
DodgerLoopGame 12.3 10.1 44.2 42.0 34.8 12.3 52.2 13.0 10.9 17.4 8.7 8.7 12.3 11.6 10.1 43.5 49.3 36.2 12.3 7.2 11.6 25.4 6.5 10.9 41.3 9.4 13.0
DodgerLoopWeekend 5.8 1.4 19.6 31.9 5.8 0.7 26.1 2.2 1.4 2.2 1.4 1.4 5.8 1.4 1.4 23.2 27.5 22.5 5.1 2.2 1.4 5.1 1.4 1.4 43.5 2.9 3.6
Earthquakes 25.9 25.9 25.9 29.5 33.1 25.2 31.7 26.6 30.9 33.8 28.1 29.5 29.5 27.3 25.9 29.5 69.8 25.9 28.1 27.3 28.8 30.2 28.8 28.8 41.7 30.2 29.5
ECG200 16.0 13.0 18.0 30.0 26.0 11.0 41.0 16.0 11.0 12.0 12.0 12.0 17.0 10.0 11.0 13.0 15.0 17.0 23.0 12.0 12.0 16.0 15.0 12.0 20.0 19.0 19.0
ECG5000 7.7 7.4 9.7 9.0 9.1 8.0 25.1 7.4 7.2 7.0 7.4 7.6 7.6 7.6 6.6 7.7 7.7 7.0 7.6 7.5 7.5 7.3 6.7 7.5 17.7 7.8 7.6
ECGFiveDays 23.1 5.6 37.3 39.1 0.6 17.2 49.9 17.4 21.8 23.8 14.4 14.4 23.1 20.3 5.6 34.3 38.3 21.0 23.2 20.3 20.3 23.2 19.3 20.2 27.6 20.3 21.2
ElectricDevices 40.0 41.2 46.4 46.5 44.1 53.7 55.8 42.0 44.2 46.2 37.8 38.3 40.4 44.9 42.1 45.2 52.7 48.1 40.1 38.1 45.1 38.5 30.7 44.9 71.7 40.2 35.6
EOGHorizontalSignal 46.1 56.1 66.6 86.7 77.6 68.5 90.6 59.7 55.8 59.4 49.2 46.4 45.6 57.7 53.0 49.5 72.9 72.4 49.7 52.5 58.3 64.1 53.6 58.3 81.8 50.8 48.9
EOGVerticalSignal 47.5 54.7 80.7 87.8 79.3 72.7 91.7 62.1 59.1 56.1 49.7 47.0 47.5 55.8 53.6 52.8 80.1 77.6 55.2 52.5 55.8 69.9 52.8 55.8 84.3 56.4 53.3
EthanolLevel 69.8 67.6 69.2 67.6 74.6 72.2 75.2 71.2 72.2 72.0 72.4 69.0 69.0 69.6 70.2 69.0 69.4 70.2 72.4 71.8 72.6 71.6 71.0 72.6 77.4 70.2 72.0
FaceAll 10.4 20.2 23.1 16.3 33.8 37.1 91.0 36.6 26.9 21.5 21.4 21.4 9.8 28.6 22.4 13.4 28.5 20.2 19.2 19.2 28.6 24.4 20.2 28.6 58.6 23.3 19.3
FaceFour 17.1 18.2 38.6 33.0 46.6 30.7 84.1 35.2 19.3 22.7 18.2 18.2 17.1 21.6 18.2 40.9 47.7 13.6 17.1 11.4 21.6 4.5 10.2 21.6 58.0 17.1 17.1
FacesUCR 9.4 8.5 25.6 27.7 25.7 26.9 88.4 28.4 23.5 25.8 7.4 7.4 9.6 23.1 8.3 15.6 35.5 14.3 9.5 8.8 23.1 11.1 4.3 23.1 54.7 8.2 9.8
FiftyWords 24.0 25.1 42.0 36.5 72.7 39.6 94.9 44.4 33.6 38.7 24.0 22.9 24.6 36.9 26.6 30.3 48.4 30.1 31.0 24.2 36.9 23.1 26.6 36.9 77.8 33.9 26.6
Fish 5.7 5.7 46.3 38.9 60.0 21.1 82.3 25.7 21.7 20.6 17.1 6.3 5.7 19.4 8.0 7.4 18.9 7.4 17.7 15.4 21.7 5.7 12.0 21.7 71.4 30.3 21.1
FordA 22.6 13.1 22.6 13.5 9.2 33.9 10.8 24.5 21.4 29.1 27.6 24.3 27.7 32.0 15.3 27.7 32.0 15.3 44.5 30.9 33.5 44.8 40.8 33.5 5.1 41.8 37.6
FordB 32.2 27.0 34.3 25.3 25.9 43.3 49.5 39.4 36.7 38.1 35.4 33.1 33.3 41.0 29.4 34.8 41.0 27.9 38.0 39.3 39.4 41.9 38.1 39.4 22.6 40.1 39.0
FreezerRegularTrain 8.8 33.5 10.9 42.4 16.1 19.6 45.7 17.2 19.2 20.5 10.1 10.3 9.7 19.5 33.5 9.3 31.7 40.5 10.1 9.3 19.5 2.1 8.9 19.5 40.1 3.0 7.5
FreezerSmallTrain 16.5 28.8 16.8 33.2 29.7 32.6 48.9 32.5 32.4 32.3 24.1 17.5 16.5 32.3 28.8 14.9 40.3 31.2 24.1 32.4 32.4 26.3 29.6 32.4 33.7 18.1 24.4
Fungi 16.1 16.7 54.3 14.0 3.2 16.1 78.0 19.4 15.6 21.0 16.1 16.1 16.1 17.7 16.7 30.6 27.4 9.7 16.1 17.7 17.7 2.2 3.2 17.7 59.1 11.3 16.1
GestureMidAirD1 36.9 34.6 83.1 82.3 79.2 56.9 91.5 58.5 43.8 45.4 38.5 38.5 36.9 42.3 33.1 50.0 65.4 46.9 43.1 36.1 42.3 43.1 41.5 42.3 94.6 43.9 41.5
GestureMidAirD2 39.2 61.5 77.7 71.5 75.4 48.5 94.6 44.6 47.7 60.0 40.0 40.0 39.2 50.8 63.1 63.1 63.9 76.2 39.2 40.0 50.8 43.1 45.4 50.8 88.5 55.4 39.2
