dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
ACSF1 66.0 67.0 35.0 37.0 83.0 29.0 29.0 52.0 16.0 56.0 29.0 58.0 36.0 36.0 34.0 46.0 16.0 44.0 95.0 29.0 27.0 26.0 46.0 67.0 34.0 38.0 34.0 79.0
Adiac 64.2 38.4 44.0 76.2 97.2 62.9 62.9 68.5 40.2 38.1 35.8 92.8 50.9 50.9 45.5 38.9 90.3 83.6 97.4 38.9 26.9 33.5 41.9 39.6 38.6 37.6 38.4 76.2
AllGestureWiimoteX 47.7 63.3 59.1 67.7 35.0 67.6 67.6 76.4 45.1 51.4 35.3 84.9 54.6 54.6 74.6 48.4 81.1 82.9 69.3 45.7 30.1 25.7 69.9 70.9 28.4 28.4 26.3 64.0
AllGestureWiimoteY 46.0 56.7 57.3 69.3 30.4 68.7 68.7 79.3 41.6 46.3 29.3 79.7 49.4 49.4 70.7 43.1 85.7 83.4 70.7 41.7 26.5 23.9 70.4 72.3 25.7 25.9 26.1 59.1
AllGestureWiimoteZ 52.4 69.1 55.0 68.9 42.9 68.7 68.7 78.9 51.7 57.9 44.3 84.0 49.7 49.7 66.0 54.6 84.0 78.6 70.4 48.4 30.0 35.3 78.0 70.7 32.3 35.7 34.1 70.0
ArrowHead 38.3 17.7 21.1 41.1 57.7 36.6 36.6 35.4 20.6 18.9 20.0 65.7 23.4 23.4 41.1 20.0 51.4 57.7 48.6 24.0 17.7 19.4 40.6 26.3 21.7 26.3 18.3 43.4
Beef 50.0 30.0 53.3 63.3 66.7 60.0 60.0 33.3 36.7 33.3 30.0 76.7 56.7 56.7 46.7 33.3 66.7 53.3 70.0 33.3 26.7 40.0 30.0 50.0 36.7 33.3 33.3 56.7
BeetleFly 40.0 35.0 10.0 50.0 35.0 50.0 50.0 25.0 35.0 25.0 35.0 55.0 25.0 25.0 35.0 25.0 65.0 50.0 20.0 40.0 20.0 30.0 35.0 20.0 25.0 30.0 35.0 15.0
BirdChicken 35.0 35.0 15.0 5.0 25.0 15.0 15.0 5.0 40.0 45.0 20.0 40.0 25.0 25.0 45.0 45.0 25.0 40.0 35.0 20.0 5.0 25.0 45.0 30.0 25.0 25.0 25.0 45.0
BME 14.7 24.0 31.3 37.3 11.3 36.7 36.7 48.0 14.7 16.0 12.7 51.3 32.0 32.0 45.3 16.7 62.0 43.3 30.7 15.3 0.0 3.3 25.3 31.3 3.3 2.0 4.0 18.7
Car 41.7 28.3 31.7 41.7 56.7 56.7 56.7 56.7 28.3 26.7 21.7 78.3 45.0 45.0 66.7 26.7 53.3 70.0 60.0 28.3 13.3 11.7 33.3 20.0 26.7 26.7 30.0 35.0
CBF 1.1 57.8 38.0 43.3 4.0 41.8 41.8 51.6 11.1 19.9 4.4 40.7 31.2 31.2 58.8 14.8 60.6 49.9 20.9 5.9 8.0 1.6 66.0 0.8 0.3 0.3 0.3 32.0
Chinatown 4.3 8.2 11.1 19.5 72.5 14.3 14.3 21.0 3.2 5.5 3.8 38.8 15.7 15.7 15.7 4.7 40.2 26.8 44.3 5.5 10.1 3.2 9.9 9.9 5.2 4.1 5.2 47.8
